-,-,-
301, 88, 358
433, -50, 59
527, 145, -54
527, 145, -54
623, 340, 230
816, 269, 265
1261, -147, -174
1674, -47, -187
1644, 206, -1
1472, 32, 238
1472, 32, 238
1847, -693, -229
1845, -459, -245
1954, -464, -482
725, 444, 105
-353, 1264, 495
1504, -338, -422
1450, -417, 295
-,-,-
580, -88, -47
580, -88, -47
529, -170, -85
534, -82, 46
467, -64, 114
469, -296, -78
401, -212, -122
296, 135, 202
296, 135, 202
146, 340, 647
240, 157, 225
658, 170, -274
893, 437, 106
987, 225, 101
987, 225, 101
1207, -234, -173
1506, -168, -51
1568, -124, 241
1583, -345, -129
-,-,-
-635, 1741, 1649
-,-,-
561, -97, 2
548, -71, -40
538, -48, -17
574, -197, -131
496, -419, -197
484, -346, -135
364, 64, 357
364, 64, 357
85, 349, 672
143, 137, 276
589, 85, 28
589, 85, 28
1026, 295, 209
1363, 46, -93
1746, -225, -653
1934, -145, -282
1833, -352, 360
1683, -610, 90
1979, -810, -630
864, -116, 351
864, -116, 351
-,-,-
612, -22, -47
624, -120, -143
492, -85, 18
203, -83, 262
162, -109, 281
350, -99, 204
350, -99, 204
410, 54, 35
437, -110, -101
757, -74, 171
618, 587, 475
997, -107, 314
1490, -689, -125
1490, -689, -125
1881, -681, 187
1848, -194, 84
1611, 111, -303
-,-,-
331, -63, 112
331, -63, 112
276, -36, 38
335, 105, 134
354, 82, 126
401, -4, -27
401, -4, -27
591, 5, -65
708, 138, 116
715, 22, 258
715, 22, 258
1000, -146, 46
1383, -156, 85
1579, -183, 301
1748, -461, 146
1898, -509, -296
1848, -221, -496
-,-,-
520, 76, 130
505, 51, 118
535, -58, -7
613, -27, -146
608, 6, 34
608, 6, 34
621, -243, 132
663, -341, 51
664, 61, -96
664, 61, -96
590, 374, 163
549, 219, 415
968, -270, 192
1431, -251, 95
1437, -34, 83
1437, -34, 83
1386, -230, -183
1551, -387, -292
1632, -15, 80
1969, -952, -1130
946, 165, 613
-,-,-
660, 71, -32
698, -20, -61
735, -101, -122
686, -81, -194
518, -23, -81
518, -23, -81
395, 35, 140
282, 187, 487
346, 103, 440
535, 1, 231
535, 1, 231
817, 149, -104
1035, 263, -220
1169, 19, -5
1452, -443, 41
1676, -294, -278
1614, 135, -261
1574, -182, -64
1574, -182, -64
1582, -433, 194
1951, -1038, -754
1289, 95, 594
-,-,-
765, 101, -139
765, 101, -139
716, 37, -50
558, 170, 135
396, 135, 122
393, 7, 32
393, 7, 32
452, -19, -25
440, -57, 10
365, -92, 110
365, -92, 110
396, -30, 26
517, 103, -31
557, 115, 125
634, -132, 196
951, -93, -151
951, -93, -151
1138, 32, -237
1273, -147, 136
1534, -549, 18
1686, -415, -87
1574, 67, -297
1396, 233, -329
1347, -100, -214
-,-,-
1184, -466, -68
-,-,-
410, 16, 176
504, 65, 71
626, 111, 28
626, 111, 28
668, 195, -29
816, 147, -138
1048, -45, 88
1195, -181, 318
1363, -240, -10
1546, -170, -253
1621, -190, -151
1579, -380, -32
1579, -380, -32
1579, -513, -109
1551, -379, -105
-,-,-
500, 216, 51
422, 243, 52
509, -148, -156
571, -253, -12
484, -38, 272
415, -105, 373
415, -105, 373
563, -254, 236
740, -74, 185
810, 72, 129
895, 180, -26
1204, 16, -170
1204, 16, -170
1406, 12, -98
1389, 106, -98
1327, 44, -303
1354, 2, -355
1300, 97, -36
1344, -219, 270
1793, -508, 331
-,-,-
526, 60, 35
462, -123, 34
462, -123, 34
452, -239, -155
322, -114, -98
233, -8, 262
210, -115, 454
353, -195, 157
512, 13, -13
512, 13, -13
477, 319, 230
699, 85, 261
1446, -313, -337
1918, -93, -442
1968, 73, -219
1995, -232, -229
-,-,-
1627, -1016, -682
-,-,-
663, -85, -165
550, 19, -89
461, 165, 324
564, 105, 368
833, -115, -110
971, -89, -142
1074, -82, 83
1074, -82, 83
1065, 52, 0
1203, -128, -151
1341, -239, 60
1530, -327, -56
1515, -183, -311
1359, -29, -324
1263, 20, 103
1263, 20, 103
1440, -340, 98
1605, -444, 7
-,-,-
699, 36, -262
619, 289, -17
523, 215, 87
744, -49, 163
1023, -115, 153
1120, 64, -55
1120, 64, -55
1214, 92, -303
1475, -85, -152
1763, -419, -25
1830, -370, -141
1782, -259, -336
-,-,-
639, 243, 12
622, 112, -76
610, 55, -165
610, 55, -165
592, 104, -135
510, 157, 20
463, 48, 59
466, 0, 5
466, 0, 5
538, -7, -26
578, 2, 188
578, 2, 188
606, -76, 140
760, -115, -34
947, -98, -30
